spec,covariate,beta,se,t,p,ci_lo,ci_hi,r2,n_obs,n_respondents,n_scenarios,clustering
primary,const,4.1293,0.4522,9.1322,<0.0001,3.243,5.0155,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,sc_total,-0.4874,0.1532,-3.1825,0.0015,-0.7876,-0.1872,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,show_sc,-0.0787,0.1166,-0.6755,0.4994,-0.3072,0.1497,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,exp_<5yr,-0.059,0.4253,-0.1388,0.8896,-0.8926,0.7746,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,mand_Equity long-short,-0.2672,,,N/A,,,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,mand_Multi-asset,-0.1284,0.2422,-0.53,0.5961,-0.6032,0.3464,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,mand_Other,-0.9713,0.0461,-21.0737,<0.0001,-1.0617,-0.881,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,discr_Advisory only,0.8972,,,N/A,,,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,discr_Partial (committee-based),0.0527,,,N/A,,,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,evt_analyst,-1.0947,0.4327,-2.5298,0.0114,-1.9428,-0.2466,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,evt_management,-1.7726,0.4719,-3.7564,0.0002,-2.6974,-0.8477,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,scenario_position,0.1929,0.0651,2.9615,0.0031,0.0652,0.3206,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,block_2,0.0609,0.3837,0.1587,0.8739,-0.6911,0.8129,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
primary,block_3,0.0469,0.5124,0.0915,0.9271,-0.9575,1.0513,0.3571,424,53,24,"two-way cluster (respondent, scenario)"
