spec,note,beta1,se,t,p,ci_lo,ci_hi,r2,n_obs,clustering
spec_1_quintiles,SC_total quintile dummies,see quintile coefficients,,,,,,0.3715,424,HC3
spec_2_within,Respondent FE (within),-0.1846,0.0549,-3.3604,0.0008,-0.2922,-0.0769,0.0356,424,HC3
spec_3_component_ac_e,Component: ac_e,0.0235,0.0167,1.4101,0.1585,-0.0092,0.0562,0.5372,424,HC3
spec_3_component_se_e,Component: se_e,-1.2904,0.1684,-7.6624,<0.0001,-1.6204,-0.9603,0.5372,424,HC3
spec_3_component_ai_e,Component: ai_e,-0.5668,0.0771,-7.3553,<0.0001,-0.7178,-0.4158,0.5372,424,HC3
spec_3_component_es_raw,Component: es_raw,0.3102,0.0328,9.4635,<0.0001,0.246,0.3745,0.5372,424,HC3
spec_4_interaction,SC_total × ShowSC interaction,-0.0067,0.083,-0.0806,0.9358,-0.1694,0.1561,0.3571,424,HC3
spec_5_direction_b1,SC_total main effect (positive events),-0.4283,0.0603,-7.1072,<0.0001,-0.5464,-0.3102,0.3701,424,HC3
spec_5_direction_b3,SC_total × D_neg amplification (negative events),0.1954,0.3684,0.5305,0.5957,-0.5266,0.9174,0.3701,424,HC3
spec_6_hc3,Primary specification with HC3 SEs,-0.4874,0.0551,-8.8452,<0.0001,-0.5954,-0.3794,0.3571,424,HC3
