scenario_id,ticker,event_date,event_time,price_before,price_after,price_reaction_pct,reaction_window
B1_S01,APD,2025-04-09,13:30,261.17,270.07,3.4077,2 hours post-event
B1_S02,COP,2025-09-08,09:30,92.91,90.86,-2.2064,2 hours post-event
B1_S03,LIN,2026-02-04,10:00,469.05,475.97,1.4753,2 hours post-event
B1_S04,UNH,2025-12-02,10:00,328.49,324.81,-1.1203,2 hours post-event
B1_S05,HD,2025-08-19,11:00,411.0,408.58,-0.5888,2 hours post-event
B1_S06,GE,2025-07-08,10:00,249.15,246.77,-0.9552,2 hours post-event
B1_S07,T,2026-01-30,09:30,25.11,25.87,3.0267,2 hours post-event
B1_S08,QCOM,2025-10-13,09:30,153.52,160.98,4.8593,2 hours post-event
B2_S01,MRK,2025-10-30,13:30,86.6,86.26,-0.3926,2 hours post-event
B2_S02,JPM,2026-01-23,09:30,303.63,296.9,-2.2165,2 hours post-event
B2_S03,CVX,2026-01-06,10:30,160.67,157.37,-2.0539,2 hours post-event
B2_S04,BAC,2025-10-14,10:00,48.7,50.12,2.9158,2 hours post-event
B2_S05,JNJ,2025-12-15,09:30,211.64,213.92,1.0773,2 hours post-event
B2_S06,KO,2025-05-05,09:30,71.66,71.59,-0.0977,2 hours post-event
B2_S07,CAT,2025-10-29,09:30,524.57,591.36,12.7323,2 hours post-event
B2_S08,WMT,2026-01-16,15:30,117.45,119.89,2.0775,next available bar post-event
B3_S01,ORCL,2026-02-11,10:00,158.85,157.0,-1.1646,2 hours post-event
B3_S02,PG,2025-03-04,15:30,174.86,174.73,-0.0743,next available bar post-event
B3_S03,AMT,2025-04-04,11:00,229.97,224.33,-2.4525,2 hours post-event
B3_S04,NFLX,2026-02-04,10:00,79.86,80.63,0.9642,2 hours post-event
B3_S05,PLD,2025-03-13,09:30,115.76,113.08,-2.3151,2 hours post-event
B3_S06,PFE,2025-10-01,11:00,26.6,27.16,2.1053,2 hours post-event
B3_S07,MCD,2025-11-05,09:30,299.21,305.31,2.0387,2 hours post-event
B3_S08,AMAT,2025-08-15,09:30,188.16,163.5,-13.1059,2 hours post-event
