scenario_id,ticker,event_date,ac_raw,se_raw,ai_raw,es_raw,ac_z,se_z,ai_z,es_z,sc_total,sentiment_direction,severity_level,persistence_score,horizon_bucket,protocol_recommendation
B1_S01,LIN,2025-07-31,1,0.8476,1.2712,1.0,-0.7609,0.4432,-0.6249,0.5902,-0.4205,Strongly Positive,Medium,1.5132,Several Weeks,Standard Process
B1_S02,APD,2025-02-06,3,0.8497,1.4642,1.0,-0.5241,0.4502,-0.5388,0.5902,-0.2259,Negative,Medium,0.9992,Several Weeks,Standard Process
B1_S03,HD,2025-11-18,23,0.9655,4.3165,1.0,1.843,0.8399,0.7331,0.5902,2.0987,Negative,High,-2.0942,Several Weeks,Cooling-Off and Second Review
B1_S04,AMT,2025-04-03,1,0.6393,2.4892,1.0,-0.7609,-0.258,-0.0818,0.5902,-0.4244,Strongly Positive,Medium,-2.4797,Several Weeks,Standard Process
B1_S05,XOM,2026-01-29,3,0.5122,2.0772,1.0,-0.5241,-0.6855,-0.2655,0.5902,-0.5799,Neutral,Medium,4.9111,Several Weeks,Standard Process
B1_S06,PFE,2025-10-01,11,0.9075,2.9765,1.0,0.4227,0.6446,0.1355,0.5902,0.8162,Mildly Positive,High,10.9823,Several Weeks,Enhanced Review
B1_S07,VZ,2025-11-03,6,0.8169,1.2554,0.8,-0.1691,0.3399,-0.632,-0.8345,-0.5867,Positive,Low,1.5401,Several Weeks,Standard Process
B1_S08,LOW,2025-11-18,3,0.9514,3.1177,1.0,-0.5241,0.7924,0.1985,0.5902,0.3506,Strongly Negative,High,1.7312,Several Weeks,Enhanced Review
B1_S09,QCOM,2025-10-13,1,0.0094,1.467,0.8,-0.7609,-2.3776,-0.5376,-0.8345,-2.1096,Neutral,Low,20.2639,Several Weeks,Standard Process
B1_S10,TMUS,2026-01-30,1,0.913,1.6566,1.0,-0.7609,0.6634,-0.4531,0.5902,-0.2229,Strongly Positive,Medium,-0.0997,Intraday,Standard Process
B1_S11,CAT,2025-10-29,9,0.9197,2.6155,1.0,0.186,0.6858,-0.0255,0.5902,0.6004,Mildly Positive,High,-2.4887,Several Weeks,Enhanced Review
B1_S12,WMT,2025-11-20,24,0.9278,3.3366,1.0,1.9613,0.7132,0.2961,0.5902,1.8622,Neutral,High,0.5933,Several Days,Cooling-Off and Second Review
